date,close,volume,open,high,low
07/16/2025,$416.29,"973,517",$412.95,$416.41,$410.57
07/15/2025,$408.73,"817,870",$413.33,$416.27,$408.60
07/14/2025,$413.62,"638,077",$415.32,$417.27,$413.2075
07/11/2025,$416.03,"720,381",$415.98,$418.76,$415.1042
07/10/2025,$417.72,"701,892",$415.85,$419.86,$414.235
07/09/2025,$417.88,"698,859",$417.02,$418.98,$415.12
07/08/2025,$417.36,"896,240",$422.13,$425.29,$415.79
07/07/2025,$426.37,"610,106",$424.81,$428.00,$423.85
07/03/2025,$424.84,"494,717",$422.70,$426.34,$421.16
07/02/2025,$422.27,"826,719",$423.82,$424.825,$416.54
07/01/2025,$425.65,"1,220,886",$420.87,$427.40,$417.57
06/30/2025,$420.46,"1,477,867",$420.21,$421.93,$417.73
06/27/2025,$418.66,"908,812",$415.35,$419.24,$414.74
06/26/2025,$415.27,"724,803",$420.49,$421.33,$411.60
06/25/2025,$419.00,"661,104",$417.33,$420.39,$416.67
06/24/2025,$418.35,"979,102",$411.33,$419.695,$409.73
06/23/2025,$410.87,"1,268,140",$407.24,$410.87,$404.865
06/20/2025,$406.25,"1,457,810",$406.05,$411.20,$404.37
06/18/2025,$404.74,"971,982",$406.80,$407.5299,$403.92
06/17/2025,$406.41,"862,950",$407.29,$408.52,$404.03
06/16/2025,$407.46,"1,015,364",$408.07,$412.33,$406.41
06/13/2025,$408.10,"718,103",$411.57,$413.51,$406.97
06/12/2025,$413.07,"643,726",$412.04,$414.51,$407.83
06/11/2025,$409.07,"840,911",$412.40,$413.03,$407.48
06/10/2025,$412.24,"677,353",$412.97,$414.135,$410.48
06/09/2025,$412.77,"616,388",$416.54,$417.795,$411.7601
06/06/2025,$417.92,"594,798",$418.12,$421.22,$416.58
06/05/2025,$416.12,"993,032",$418.86,$419.745,$413.22
06/04/2025,$417.40,"1,068,153",$424.12,$424.52,$417.37
06/03/2025,$422.21,"1,196,327",$416.93,$425.08,$416.93
06/02/2025,$419.17,"767,204",$415.13,$419.2315,$413.15
05/30/2025,$415.38,"3,176,673",$418.00,$418.00,$409.67
05/29/2025,$418.43,"864,532",$419.80,$421.73,$412.36
05/28/2025,$420.83,"1,098,744",$421.21,$425.00,$417.90
05/27/2025,$420.44,"923,916",$421.41,$425.21,$419.83
05/23/2025,$418.92,"563,172",$420.06,$421.30,$416.97
05/22/2025,$421.72,"623,787",$426.70,$428.56,$420.75
05/21/2025,$426.44,"1,116,454",$422.04,$428.865,$421.09
05/20/2025,$422.93,"653,131",$424.58,$426.405,$422.00
05/19/2025,$425.29,"771,550",$423.93,$427.175,$422.30
05/16/2025,$424.18,"1,659,004",$425.13,$425.355,$420.70
05/15/2025,$425.58,"906,564",$417.72,$425.70,$417.50
05/14/2025,$415.20,"924,260",$415.00,$418.525,$411.61
05/13/2025,$413.28,"849,979",$412.91,$418.22,$411.94
05/12/2025,$412.91,"1,034,692",$408.20,$413.13,$401.36
05/09/2025,$406.50,"940,556",$411.57,$411.57,$404.22
05/08/2025,$410.37,"940,778",$417.56,$418.20,$409.21
05/07/2025,$415.15,"949,050",$411.32,$418.02,$411.32
05/06/2025,$412.64,"1,023,315",$402.16,$413.79,$400.50
05/05/2025,$405.37,"1,156,983",$405.94,$407.17,$399.06
05/02/2025,$406.42,"2,341,037",$417.35,$420.77,$397.00
05/01/2025,$439.16,"981,662",$440.50,$444.37,$438.77
04/30/2025,$440.39,"795,170",$435.84,$441.55,$430.98
04/29/2025,$435.76,"509,867",$430.22,$438.14,$430.22
04/28/2025,$431.01,"661,687",$430.12,$433.83,$428.51
04/25/2025,$430.22,"436,272",$430.00,$430.59,$425.54
04/24/2025,$428.14,"425,120",$422.98,$429.25,$421.53
04/23/2025,$424.16,"601,369",$423.61,$429.6399,$422.18
04/22/2025,$419.79,"842,031",$416.29,$421.37,$414.22
04/21/2025,$412.35,"567,296",$417.56,$418.33,$408.27
04/17/2025,$420.95,"651,944",$425.91,$426.36,$419.41
04/16/2025,$420.45,"619,756",$425.73,$430.70,$418.895
04/15/2025,$430.64,"691,389",$428.95,$431.7436,$427.59
04/14/2025,$426.45,"999,648",$425.00,$429.105,$423.35
04/11/2025,$422.37,"789,904",$415.92,$424.635,$410.70
04/10/2025,$414.87,"1,061,381",$414.63,$420.085,$404.73
04/09/2025,$417.19,"1,563,525",$393.13,$419.94,$391.09
04/08/2025,$394.72,"1,311,756",$407.00,$418.19,$390.14
04/07/2025,$403.12,"1,958,378",$402.15,$416.695,$388.90
04/04/2025,$402.13,"1,726,411",$428.71,$439.875,$401.71
04/03/2025,$435.50,"1,497,751",$427.935,$441.21,$427.935
04/02/2025,$436.99,"823,068",$431.66,$439.58,$430.44
04/01/2025,$435.99,"1,014,163",$436.38,$439.67,$433.99
03/31/2025,$437.81,"1,224,343",$431.51,$439.77,$431.51
03/28/2025,$432.99,"833,467",$433.27,$434.49,$431.67
03/27/2025,$432.33,"660,655",$430.67,$433.56,$427.00
03/26/2025,$431.23,"598,342",$430.88,$436.29,$428.73
03/25/2025,$429.19,"612,620",$429.95,$435.45,$427.99
03/24/2025,$429.34,"575,434",$427.49,$430.37,$424.49
03/21/2025,$422.71,"1,140,629",$422.34,$424.885,$419.09
03/20/2025,$422.28,"556,878",$422.19,$425.16,$419.19
03/19/2025,$424.36,"495,082",$422.59,$424.97,$420.005
03/18/2025,$421.90,"567,213",$420.28,$423.43,$419.44
03/17/2025,$421.59,"856,548",$416.80,$423.895,$415.40
03/14/2025,$417.96,"714,642",$415.06,$418.29,$412.69
03/13/2025,$414.12,"1,034,383",$412.28,$416.75,$404.14
03/12/2025,$412.88,"908,623",$413.96,$417.0115,$410.59
03/11/2025,$411.73,"992,481",$416.33,$416.99,$410.50
03/10/2025,$415.67,"1,114,687",$420.13,$422.415,$412.01
03/07/2025,$423.13,"856,782",$421.66,$425.795,$416.35
03/06/2025,$423.31,"1,283,826",$422.245,$428.31,$417.17
03/05/2025,$426.10,"559,645",$420.49,$427.36,$419.90
03/04/2025,$423.06,"713,927",$424.39,$428.39,$421.12
03/03/2025,$427.35,"938,740",$438.97,$440.68,$423.16
02/28/2025,$440.22,"1,619,997",$433.75,$441.63,$430.97
02/27/2025,$429.55,"827,409",$426.81,$432.73,$426.385
