date,close,volume,open,high,low
10/24/2023,$110.878,"6,635,620",$109.142,$111.388,$108.852
10/23/2023,$108.276,"4,715,600",$107.40,$109.068,$106.108
10/20/2023,$108.502,"7,092,955",$111.32,$111.484,$107.234
10/19/2023,$111.996,"5,365,445",$111.688,$113.681,$111.326
10/18/2023,$110.136,"4,361,260",$112.56,$113.60,$109.972
10/17/2023,$113.694,"6,986,480",$109.932,$114.85,$109.76
10/16/2023,$110.326,"4,157,740",$109.932,$111.54,$109.30
10/13/2023,$109.932,"3,887,355",$111.752,$112.758,$109.812
10/12/2023,$112.03,"4,123,120",$112.152,$113.978,$110.90
10/11/2023,$111.734,"4,394,210",$112.00,$113.04,$110.328
10/10/2023,$111.66,"7,041,295",$111.212,$112.937,$109.40
10/09/2023,$112.886,"4,040,985",$110.978,$113.13,$110.69
10/06/2023,$112.144,"5,908,350",$108.578,$113.116,$107.804
10/05/2023,$109.434,"3,314,645",$108.966,$109.701,$107.21
10/04/2023,$109.728,"3,525,690",$108.916,$110.114,$108.328
10/03/2023,$108.248,"6,860,750",$110.40,$111.2702,$107.382
10/02/2023,$111.046,"4,969,875",$110.95,$112.034,$109.957
09/29/2023,$111.792,"6,685,985",$112.174,$113.2349,$111.702
09/28/2023,$110.704,"5,790,370",$106.802,$111.23,$105.60
09/27/2023,$109.276,"5,081,235",$109.912,$110.356,$108.08
09/26/2023,$108.926,"7,546,855",$110.712,$110.95,$107.726
09/25/2023,$111.896,"4,007,345",$110.524,$111.928,$110.26
09/22/2023,$110.818,"5,536,485",$110.356,$111.785,$110.121
09/21/2023,$109.906,"5,356,865",$112.624,$112.98,$109.804
09/20/2023,$114.11,"3,885,480",$115.00,$116.688,$113.954
09/19/2023,$114.466,"4,148,385",$115.87,$115.87,$113.31
09/18/2023,$115.702,"3,305,255",$115.448,$116.88,$115.334
09/15/2023,$115.916,"8,551,935",$117.716,$117.86,$115.30
09/14/2023,$118.022,"3,340,820",$118.69,$118.996,$117.084
