date,close,volume,open,high,low
10/15/2025,$271.64,"955,772",$271.50,$272.935,$269.26
10/14/2025,$270.52,"1,040,920",$265.94,$271.61,$264.5416
10/13/2025,$269.82,"783,627",$267.39,$269.84,$265.66
10/10/2025,$265.53,"1,327,619",$275.86,$276.13,$265.48
10/09/2025,$275.79,"1,157,858",$275.59,$276.83,$274.1355
10/08/2025,$277.15,"1,092,463",$275.76,$277.50,$274.83
10/07/2025,$273.82,"1,051,520",$275.00,$275.58,$273.59
10/06/2025,$274.28,"1,229,495",$271.71,$274.395,$269.77
10/03/2025,$270.53,"1,027,593",$269.93,$271.159,$268.09
10/02/2025,$271.91,"1,201,355",$272.09,$273.84,$270.80
10/01/2025,$269.99,"1,394,413",$265.84,$270.51,$265.80
09/30/2025,$267.21,"941,243",$266.74,$268.29,$265.83
09/29/2025,$263.82,"1,150,973",$262.92,$265.65,$262.54
09/26/2025,$264.08,"965,071",$262.10,$264.50,$261.01
09/25/2025,$262.51,"1,216,292",$261.51,$263.87,$260.9224
09/24/2025,$268.85,"2,045,623",$271.76,$272.24,$267.5575
09/23/2025,$265.27,"1,197,205",$267.24,$268.38,$265.135
09/22/2025,$265.38,"1,548,266",$263.83,$265.6935,$263.395
09/19/2025,$266.91,"1,670,964",$269.25,$269.675,$266.81
09/18/2025,$269.74,"2,962,384",$268.20,$271.42,$266.49
09/17/2025,$261.42,"3,737,695",$259.59,$261.52,$256.41
09/16/2025,$253.60,"2,803,990",$251.51,$254.50,$248.32
09/15/2025,$252.42,"3,535,222",$251.17,$253.245,$249.14
09/12/2025,$257.16,"1,499,996",$258.17,$259.03,$256.91
09/11/2025,$258.19,"3,282,228",$259.16,$259.44,$256.675
09/10/2025,$260.51,"3,242,443",$270.30,$270.30,$259.83
09/09/2025,$271.48,"3,125,000",$270.05,$271.73,$269.6201
09/08/2025,$270.33,"1,939,446",$268.72,$272.025,$268.72
09/05/2025,$269.00,"1,700,489",$271.67,$272.26,$267.29
09/04/2025,$271.99,"1,012,760",$272.88,$273.12,$270.81
09/03/2025,$270.94,"1,063,203",$268.81,$270.99,$267.89
09/02/2025,$266.20,"1,594,468",$266.83,$268.60,$264.18
08/29/2025,$272.16,"1,208,005",$272.26,$272.67,$270.21
08/28/2025,$275.40,"731,041",$275.74,$276.825,$275.15
08/27/2025,$275.11,"1,111,522",$270.47,$275.44,$270.13
08/26/2025,$269.86,"1,823,846",$271.51,$272.305,$269.4513
08/25/2025,$270.26,"1,397,334",$273.17,$273.71,$270.26
08/22/2025,$271.11,"1,450,763",$269.48,$272.51,$268.32
08/21/2025,$269.21,"1,593,761",$270.37,$271.42,$268.115
08/20/2025,$272.53,"1,249,085",$273.125,$273.46,$270.31
08/19/2025,$274.23,"1,676,398",$277.74,$278.52,$273.63
08/18/2025,$276.72,"1,724,291",$275.88,$276.78,$275.49
08/15/2025,$277.85,"1,292,643",$278.49,$279.53,$276.56
08/14/2025,$278.91,"954,630",$278.48,$279.85,$278.10
08/13/2025,$278.82,"1,662,995",$278.02,$281.00,$277.025
08/12/2025,$275.89,"5,253,716",$273.75,$276.20,$268.66
08/11/2025,$287.24,"1,314,294",$288.88,$290.50,$286.71
08/08/2025,$292.12,"1,159,703",$291.44,$293.015,$289.62
08/07/2025,$295.46,"1,854,591",$299.21,$299.4775,$292.2131
08/06/2025,$291.78,"1,135,726",$288.37,$292.08,$287.92
08/05/2025,$285.19,"1,090,178",$286.05,$287.10,$283.93
08/04/2025,$283.79,"1,076,986",$284.205,$284.38,$281.915
08/01/2025,$283.00,"1,578,580",$282.08,$284.84,$281.03
07/31/2025,$286.70,"1,323,782",$290.39,$290.72,$285.60
07/30/2025,$290.50,"1,375,520",$287.75,$291.61,$287.12
07/29/2025,$287.54,"1,521,149",$285.86,$288.62,$285.84
07/28/2025,$282.38,"1,482,359",$285.27,$285.70,$282.00
07/25/2025,$288.03,"1,608,884",$285.81,$288.46,$285.43
07/24/2025,$286.16,"2,258,203",$288.29,$290.555,$286.16
07/23/2025,$290.63,"4,638,538",$292.92,$294.44,$286.74
07/22/2025,$306.29,"2,078,243",$306.69,$307.66,$303.50
07/21/2025,$307.27,"936,651",$306.39,$308.55,$305.115
07/18/2025,$305.97,"1,021,395",$309.34,$309.73,$305.30
07/17/2025,$308.61,"1,389,072",$304.37,$308.61,$304.37
07/16/2025,$306.02,"1,021,532",$305.50,$306.29,$302.01
07/15/2025,$301.58,"688,602",$303.43,$303.94,$300.73
07/14/2025,$300.64,"902,458",$297.72,$302.11,$296.90
07/11/2025,$300.85,"1,105,141",$304.11,$304.19,$300.82
07/10/2025,$306.21,"1,368,921",$313.28,$313.28,$306.095
07/09/2025,$311.93,"795,227",$310.67,$312.26,$309.94
07/08/2025,$308.76,"1,552,164",$309.09,$310.465,$307.755
07/07/2025,$305.53,"1,131,718",$304.55,$306.9665,$303.78
07/03/2025,$303.72,"858,048",$298.85,$304.095,$298.76
07/02/2025,$298.16,"1,452,064",$296.48,$299.55,$295.82
07/01/2025,$300.68,"961,899",$305.43,$306.91,$299.565
06/30/2025,$304.10,"884,674",$302.93,$304.63,$301.86
06/27/2025,$301.09,"1,039,474",$298.93,$303.25,$297.85
06/26/2025,$295.55,"1,913,351",$293.84,$296.165,$291.03
06/25/2025,$293.29,"970,649",$295.25,$295.96,$293.00
06/24/2025,$297.08,"1,223,047",$295.06,$297.7999,$293.67
06/23/2025,$290.80,"922,387",$286.60,$291.10,$285.485
06/20/2025,$287.59,"1,298,473",$290.91,$291.04,$287.44
06/18/2025,$289.81,"1,611,052",$291.42,$292.38,$289.22
06/17/2025,$292.64,"727,962",$296.31,$296.71,$292.40
06/16/2025,$295.84,"1,138,020",$295.99,$298.51,$295.46
06/13/2025,$293.36,"1,445,064",$293.77,$296.16,$292.39
06/12/2025,$301.74,"884,313",$302.75,$304.50,$301.64
06/11/2025,$299.21,"1,869,432",$301.465,$303.58,$298.245
06/10/2025,$304.41,"1,022,070",$304.77,$305.22,$302.70
06/09/2025,$305.42,"1,128,733",$302.07,$306.22,$300.935
06/06/2025,$309.80,"571,430",$309.84,$310.89,$309.43
06/05/2025,$309.10,"666,409",$311.24,$311.40,$307.71
06/04/2025,$309.32,"659,583",$307.17,$310.49,$306.68
06/03/2025,$306.39,"1,256,340",$304.10,$307.25,$303.30
06/02/2025,$304.66,"830,587",$301.01,$304.66,$299.965
05/30/2025,$302.86,"1,188,386",$301.79,$303.46,$299.3501
05/29/2025,$296.93,"1,103,313",$297.975,$298.91,$296.01
05/28/2025,$298.07,"1,069,244",$297.53,$299.39,$296.81
05/27/2025,$301.84,"1,219,755",$301.96,$304.43,$300.10
05/23/2025,$294.87,"1,420,072",$292.70,$296.16,$292.05
05/22/2025,$299.84,"1,577,232",$298.04,$301.82,$297.77
05/21/2025,$298.41,"761,703",$298.99,$302.20,$297.945
05/20/2025,$299.27,"830,227",$299.80,$300.0295,$297.60
05/19/2025,$298.74,"1,011,463",$295.86,$299.29,$295.05
05/16/2025,$296.41,"1,223,610",$297.11,$297.45,$295.36
05/15/2025,$294.35,"1,052,082",$292.19,$294.78,$290.645
05/14/2025,$288.46,"1,222,005",$291.29,$291.72,$287.5131
05/13/2025,$289.73,"1,488,597",$289.15,$291.67,$288.45
05/12/2025,$293.51,"1,303,262",$288.46,$293.51,$286.04
05/09/2025,$293.97,"705,634",$296.58,$296.92,$293.59
05/08/2025,$294.33,"1,143,160",$297.055,$297.45,$293.95
05/07/2025,$297.33,"1,121,398",$297.76,$299.19,$295.55
05/06/2025,$297.68,"1,239,453",$298.57,$300.11,$296.76
05/05/2025,$302.63,"1,441,232",$300.83,$303.395,$300.41
05/02/2025,$301.72,"2,751,688",$300.46,$302.68,$299.14
05/01/2025,$288.93,"1,340,311",$295.59,$295.59,$288.44
04/30/2025,$292.19,"1,856,529",$286.51,$292.28,$285.785
04/29/2025,$292.55,"1,977,199",$289.63,$293.185,$289.19
04/28/2025,$285.35,"1,475,636",$284.72,$286.57,$282.7466
04/25/2025,$277.95,"1,850,697",$276.40,$279.45,$274.35
04/24/2025,$273.55,"1,609,268",$270.15,$274.63,$269.90
04/23/2025,$271.48,"2,814,430",$273.63,$277.9788,$270.26
04/22/2025,$252.40,"2,503,397",$247.94,$254.71,$247.85
04/21/2025,$250.54,"1,653,333",$255.19,$255.605,$247.61
04/17/2025,$257.40,"1,503,700",$259.43,$259.73,$256.29
04/16/2025,$260.48,"1,313,214",$261.81,$264.81,$258.75
04/15/2025,$261.96,"893,902",$261.41,$263.64,$261.135
04/14/2025,$259.53,"1,522,329",$260.15,$263.05,$257.35
04/11/2025,$259.15,"1,627,685",$254.61,$260.77,$252.94
04/10/2025,$258.49,"2,432,712",$258.05,$259.80,$250.9975
04/09/2025,$259.61,"2,836,477",$238.07,$261.98,$236.13
04/08/2025,$237.53,"2,450,735",$244.36,$245.80,$234.515
04/07/2025,$241.54,"4,495,560",$240.40,$256.21,$239.63
04/04/2025,$248.50,"1,878,029",$256.35,$258.11,$248.37
04/03/2025,$264.34,"1,937,331",$267.66,$268.93,$263.80
04/02/2025,$271.42,"847,940",$265.41,$272.60,$265.37
04/01/2025,$270.34,"957,749",$268.46,$271.365,$266.695
03/31/2025,$268.44,"1,374,885",$263.94,$269.37,$261.89
03/28/2025,$268.00,"1,214,694",$268.235,$269.22,$266.295
03/27/2025,$268.15,"598,672",$265.25,$269.1799,$264.80
03/26/2025,$268.00,"1,270,283",$272.65,$273.23,$267.01
03/25/2025,$280.23,"706,852",$278.705,$280.435,$278.13
03/24/2025,$275.74,"779,611",$275.82,$276.98,$274.42
03/21/2025,$272.53,"1,275,097",$268.78,$272.82,$268.63
03/20/2025,$271.69,"1,989,748",$268.86,$272.27,$268.70
03/19/2025,$271.44,"1,604,817",$267.59,$272.8516,$267.17
03/18/2025,$270.64,"2,155,026",$270.94,$271.315,$265.645
03/17/2025,$269.55,"1,464,191",$265.91,$270.5399,$265.57
03/14/2025,$263.88,"954,583",$260.53,$264.63,$259.24
03/13/2025,$255.19,"1,558,809",$257.74,$258.465,$254.41
03/12/2025,$264.12,"1,099,309",$263.96,$265.93,$260.945
03/11/2025,$260.67,"1,527,671",$262.42,$264.4725,$258.87
03/10/2025,$261.31,"1,790,310",$268.73,$269.36,$259.20
03/07/2025,$276.80,"2,688,157",$278.20,$279.845,$273.43
03/06/2025,$279.34,"1,048,540",$280.01,$283.90,$277.41
03/05/2025,$286.73,"1,362,337",$283.58,$287.70,$282.6618
03/04/2025,$279.05,"1,688,513",$276.72,$284.09,$272.30
03/03/2025,$280.65,"1,914,212",$285.47,$287.28,$279.41
02/28/2025,$275.00,"1,382,184",$274.51,$276.62,$272.97
02/27/2025,$274.60,"1,515,917",$283.25,$283.43,$274.24
02/26/2025,$285.88,"1,270,199",$286.42,$289.6543,$284.56
